Student_ID,Student_Name,University,Program,Graduation_Year,Region,Gender,Caste_Category,Socioeconomic_Status,Location_Type,Employment_Status,Industry,Avg_Starting_Salary,Employment_Rate,Avg_Time_to_Employment_months,Job_Satisfaction_Score,Tuition_Fees,Avg_Debt,Scholarship_Amount,ROI_Score,Career_Services_Score,Career_Guidance_Hours,Internship_Rate,Mentorship_Program,Alumni_Network_Score,Networking_Events_Attended
141,Arjun Kumar,Christ University,Economics,2018,North,Female,General,High,Rural,Employed,Finance,669679,0.81,3.8,7.7,357356,268462,116242,2.78,9.4,20,0.73,No,7.3,6
142,Pari Sharma,BITS Pilani,Economics,2020,East,Male,SC,Low,Urban,Employed,Public Sector,394971,0.81,1.8,6.5,305851,97054,81156,1.76,8.9,25,0.8,No,8.9,3
143,Navya Gupta,VIT Vellore,Biotechnology,2022,West,Male,ST,High,Rural,Employed,Public Sector,837290,0.8,3.4,7.1,510745,386296,131699,2.21,8.0,10,0.78,Yes,7.8,7
144,Navya Pandey,SRM University,Marketing,2020,South,Male,OBC,Low,Urban,Employed,IT,641495,0.94,3.1,9.7,380069,223422,101822,2.31,8.1,15,0.74,No,9.5,0
145,Aadhya Desai,Jadavpur University,Electrical Engineering,2021,South,Male,ST,High,Rural,Employed,IT,777052,0.94,2.0,6.7,244641,80262,78861,4.69,7.7,10,0.78,Yes,8.6,5
146,Vihaan Sharma,IIT Madras,Marketing,2020,North,Male,General,High,Rural,Unemployed,,0,0.93,,,564812,334938,88227,0.0,7.9,15,0.88,No,7.4,7
147,Diya Menon,Manipal University,Biotechnology,2020,West,Female,OBC,High,Urban,Employed,Education,645636,0.83,2.0,9.2,283534,110253,235,2.28,9.8,22,0.91,Yes,9.8,9
148,Rohan Desai,IIT Bombay,Psychology,2020,South,Male,SC,High,Urban,Employed,Consulting,1132260,0.88,1.8,7.0,326042,201524,126232,5.67,7.3,30,0.88,No,9.1,1
149,Aadhya Singh,SRM University,Mechanical Engineering,2019,West,Male,General,Middle,Rural,Employed,Research,863553,0.83,1.2,9.4,667033,494194,184146,1.79,8.6,25,0.9,Yes,7.3,4
150,Aarav Joshi,IIM Bangalore,Mechanical Engineering,2023,South,Male,SC,Low,Rural,Employed,Finance,477554,0.9,2.3,6.2,247627,116130,80431,2.86,9.7,23,0.94,Yes,9.1,5
151,Krishna Kumar,BITS Pilani,Biotechnology,2018,North,Female,SC,Middle,Urban,Employed,Research,875459,0.82,1.6,8.6,664796,250491,189178,1.84,7.0,30,0.85,Yes,7.3,1
152,Pari Iyer,IIM Bangalore,Economics,2023,North,Female,ST,High,Rural,Employed,Research,1130270,0.84,1.8,6.2,343862,166948,99993,4.63,8.1,18,0.81,No,8.3,10
153,Aditya Reddy,VIT Vellore,Business Administration,2022,West,Female,OBC,High,Urban,Employed,Research,653851,0.82,3.3,6.7,647889,379894,61772,1.12,8.4,11,0.83,Yes,7.2,2
154,Krishna Kumar,IIT Madras,Computer Science,2023,South,Female,General,High,Rural,Employed,Manufacturing,544016,0.89,3.8,6.0,420413,193337,17566,1.35,7.3,27,0.78,No,8.7,9
155,Saanvi Varma,SRM University,Economics,2018,North,Male,ST,Low,Urban,Employed,Finance,752521,0.81,1.8,6.6,449990,330174,90143,2.09,9.6,30,0.82,No,7.8,9
156,Myra Patel,BITS Pilani,Business Administration,2020,East,Male,General,High,Rural,Employed,IT,1174401,0.82,3.9,7.8,504278,357378,79444,2.76,7.9,13,0.94,Yes,9.5,5
157,Ishaan Bose,Jadavpur University,Mechanical Engineering,2022,West,Male,ST,Low,Rural,Employed,Consulting,541011,0.83,3.6,6.8,208936,116509,20836,2.88,7.2,22,0.73,Yes,9.1,0
158,Rohan Patel,Anna University,Computer Science,2022,West,Female,OBC,Middle,Rural,Employed,Research,778976,0.9,2.0,6.7,279890,179293,31711,3.14,8.1,15,0.94,No,8.8,4
159,Vivaan Das,IIT Delhi,Economics,2023,South,Male,OBC,High,Urban,Employed,Healthcare,1108613,0.91,2.8,6.0,366773,159378,107349,4.27,8.5,10,0.82,Yes,9.6,4
160,Anika Das,Manipal University,Data Science,2019,East,Female,ST,Middle,Rural,Employed,Public Sector,1064652,0.9,2.8,7.1,466822,298111,163474,3.51,8.2,26,0.95,No,7.3,10
161,Aditya Mehta,IIT Bombay,Business Administration,2019,East,Female,SC,Middle,Rural,Employed,Manufacturing,811701,0.92,3.2,8.6,692421,472741,29766,1.22,9.4,29,0.8,No,9.4,4
162,Ishaan Bose,BITS Pilani,Economics,2023,West,Male,OBC,Middle,Urban,Employed,Consulting,1269599,0.82,1.8,9.2,681958,306947,89121,2.14,9.5,15,0.77,No,9.6,2
163,Diya Reddy,IIT Kanpur,Business Administration,2020,East,Male,SC,Middle,Rural,Employed,Education,759508,0.88,1.6,6.5,636288,461694,123348,1.48,7.2,28,0.94,Yes,8.9,10
164,Myra Varma,IIM Bangalore,Economics,2021,East,Male,OBC,Low,Urban,Employed,Public Sector,812179,0.85,1.2,7.8,300181,137540,93804,3.94,7.5,20,0.86,Yes,7.2,3
165,Sai Desai,SRM University,Electrical Engineering,2021,West,Female,General,Low,Rural,Unemployed,,0,0.93,,,599865,469492,100484,0.0,7.0,21,0.94,No,8.6,8
166,Krishna Sharma,VIT Vellore,Computer Science,2019,East,Male,OBC,High,Rural,Employed,Finance,1117203,0.92,2.8,7.4,552181,304620,80246,2.37,7.5,19,0.94,No,9.5,10
167,Arjun Joshi,Amity University,Psychology,2019,North,Female,OBC,Low,Rural,Employed,Healthcare,552436,0.86,2.9,9.1,287579,116640,2872,1.94,8.8,21,0.88,Yes,7.5,9
168,Vihaan Bhat,IIT Delhi,Mechanical Engineering,2021,West,Male,General,High,Urban,Employed,Research,769642,0.91,3.0,7.1,279598,160388,62180,3.54,9.1,30,0.7,No,7.6,9
169,Arjun Bose,Christ University,Mechanical Engineering,2019,West,Male,SC,Low,Urban,Unemployed,,0,0.89,,,359452,247655,137139,0.0,9.9,23,0.77,Yes,8.1,3
170,Pari Joshi,IIT Kanpur,Computer Science,2018,South,Male,General,Low,Rural,Unemployed,,0,0.84,,,686561,231730,53105,0.0,9.7,24,0.95,No,8.9,0
171,Aditya Menon,Christ University,Computer Science,2023,West,Female,SC,High,Rural,Employed,Finance,917663,0.95,3.9,7.1,249613,181124,6014,3.77,7.0,30,0.74,No,7.4,1
172,Aadhya Joshi,IIT Madras,Mechanical Engineering,2023,West,Female,ST,Middle,Rural,Employed,Public Sector,856198,0.82,3.7,7.9,592226,369799,208905,2.23,7.5,11,0.95,Yes,7.4,9
173,Ira Menon,Jadavpur University,Economics,2021,West,Female,General,High,Urban,Employed,Finance,675460,0.97,3.0,7.4,581262,302456,16603,1.2,7.8,26,0.89,Yes,7.9,8
174,Anika Iyer,BITS Pilani,Civil Engineering,2022,South,Female,SC,High,Rural,Employed,IT,682127,0.93,2.0,7.3,162210,100845,10284,4.49,8.5,25,0.92,Yes,8.4,4
175,Vihaan Varma,IIT Kanpur,Biotechnology,2021,West,Female,ST,Low,Urban,Employed,Public Sector,969920,0.87,2.7,6.0,242295,176462,58598,5.28,7.9,30,0.7,No,9.9,1
176,Anika Bhat,VIT Vellore,Data Science,2019,North,Male,ST,Middle,Rural,Employed,Public Sector,979919,0.82,3.0,6.0,498098,288934,162465,2.92,8.8,21,0.88,Yes,9.1,5
177,Ananya Chatterjee,Delhi University,Business Administration,2023,South,Male,General,Low,Rural,Employed,Research,861459,0.92,1.3,7.7,262157,111978,25679,3.64,7.6,22,0.75,Yes,9.8,10
178,Saanvi Iyer,SRM University,Psychology,2022,North,Female,OBC,Middle,Urban,Employed,Research,634200,0.89,2.2,9.9,656390,500290,92905,1.13,9.1,14,0.73,No,7.5,3
179,Ishaan Chopra,IIM Ahmedabad,Data Science,2023,East,Female,OBC,Low,Rural,Employed,Consulting,687963,0.89,3.1,7.3,377900,151327,76173,2.28,9.1,14,0.95,Yes,9.8,1
180,Aadhya Chatterjee,Anna University,Marketing,2018,North,Female,SC,Middle,Urban,Employed,Research,795819,0.82,1.2,9.1,302386,98738,7419,2.7,7.6,15,0.95,No,9.3,3
181,Meera Patel,IIM Ahmedabad,Psychology,2022,South,Male,OBC,High,Rural,Employed,Education,823465,0.8,1.8,8.5,199261,152084,50797,5.55,8.2,20,0.94,Yes,9.4,7
182,Rohan Pandey,SRM University,Marketing,2023,South,Male,OBC,Middle,Rural,Employed,Finance,909419,0.83,3.5,6.0,346059,270354,134701,4.3,7.4,18,0.84,Yes,7.1,7
183,Arjun Patel,IIT Madras,Business Administration,2023,North,Male,SC,Middle,Rural,Employed,Consulting,759561,0.82,1.7,6.9,380646,296330,136473,3.11,7.2,23,0.84,No,8.5,5
184,Diya Pandey,IIM Bangalore,Civil Engineering,2019,West,Female,General,Low,Rural,Employed,Healthcare,965083,0.8,2.6,9.1,191814,123005,42065,6.44,8.1,13,0.8,No,9.4,8
185,Navya Roy,Anna University,Computer Science,2019,North,Female,OBC,Middle,Urban,Employed,IT,962701,0.89,3.1,9.9,218652,88639,82511,7.07,9.3,23,0.91,Yes,9.6,6
186,Vivaan Nair,IIT Delhi,Psychology,2019,North,Female,General,Low,Urban,Unemployed,,0,0.87,,,414144,239806,150722,0.0,9.5,23,0.8,No,9.7,0
187,Myra Iyer,Delhi University,Computer Science,2022,East,Male,General,High,Urban,Employed,Finance,695362,0.88,2.6,6.5,453915,314765,78997,1.85,8.8,24,0.8,Yes,7.8,6
188,Meera Das,VIT Vellore,Electrical Engineering,2018,North,Female,SC,Low,Urban,Employed,IT,989828,0.83,1.7,9.3,563224,320235,22315,1.83,7.9,21,0.75,Yes,9.2,3
189,Aditya Menon,VIT Vellore,Marketing,2023,East,Male,ST,High,Urban,Employed,Finance,745791,0.82,2.9,9.6,412865,144131,152199,2.86,8.5,14,0.87,Yes,8.0,5
190,Pari Roy,IIM Ahmedabad,Marketing,2021,East,Female,OBC,High,Rural,Unemployed,,0,0.82,,,326831,98838,32266,0.0,9.4,30,0.81,No,9.1,5
191,Pari Roy,Anna University,Business Administration,2023,South,Female,ST,High,Urban,Unemployed,,0,0.95,,,235955,170099,18350,0.0,9.7,30,0.72,Yes,7.6,8
192,Aarav Desai,Jadavpur University,Economics,2023,West,Male,General,High,Rural,Employed,Manufacturing,677381,0.87,2.5,8.7,533588,264792,202413,2.05,8.8,14,0.82,Yes,9.6,9
193,Sai Varma,IIT Madras,Psychology,2020,West,Male,OBC,High,Urban,Employed,IT,441590,0.87,3.8,9.5,379448,258303,60751,1.39,7.2,11,0.87,No,8.1,0
194,Diya Iyer,Manipal University,Biotechnology,2023,West,Female,SC,High,Urban,Employed,Research,710645,0.94,2.0,9.2,533041,316540,20404,1.39,8.5,17,0.83,No,8.1,9
195,Aarav Varma,Amity University,Electrical Engineering,2019,East,Female,OBC,Low,Urban,Employed,Manufacturing,954135,0.91,2.4,8.4,345984,131016,31019,3.03,9.0,20,0.88,No,8.2,10
196,Sara Sharma,IIT Kanpur,Computer Science,2018,South,Male,OBC,Low,Urban,Employed,Manufacturing,933411,0.96,1.6,8.4,420804,320325,135434,3.27,9.9,28,0.86,No,8.8,7
197,Pari Menon,IIT Kanpur,Economics,2023,South,Male,OBC,High,Rural,Employed,Consulting,660170,0.94,2.8,6.7,625497,374214,18046,1.09,7.7,13,0.7,No,8.2,9
198,Anika Patel,Amity University,Biotechnology,2023,North,Male,General,Middle,Urban,Employed,Research,798236,0.86,3.4,9.6,697403,355914,22774,1.18,9.1,25,0.9,No,8.3,9
199,Aditya Bose,IIT Madras,Data Science,2020,West,Female,OBC,Low,Rural,Employed,Healthcare,738181,0.92,1.9,7.4,155735,101940,51735,7.1,7.0,26,0.7,Yes,8.6,2
200,Sara Desai,IIM Bangalore,Data Science,2019,West,Female,SC,High,Rural,Employed,Research,960762,0.93,3.6,8.6,655904,255382,253629,2.39,7.8,21,0.89,No,7.9,3
201,Ira Menon,IIT Bombay,Civil Engineering,2021,South,Female,SC,High,Urban,Employed,IT,922768,0.81,1.1,7.5,245513,174713,61822,5.02,9.8,12,0.77,No,8.3,6
202,Anika Varma,IIM Bangalore,Marketing,2018,West,Male,OBC,High,Rural,Employed,Healthcare,1071576,0.86,3.0,9.9,693323,307144,17620,1.59,9.4,17,0.85,Yes,8.5,1
203,Ishaan Chopra,IIM Ahmedabad,Economics,2018,North,Female,OBC,High,Urban,Employed,Education,713339,0.84,2.2,6.4,515004,243976,72484,1.61,7.7,24,0.93,Yes,9.9,1
204,Navya Das,IIM Ahmedabad,Mechanical Engineering,2022,West,Female,SC,High,Rural,Employed,Public Sector,840764,0.81,2.9,10.0,405090,274949,120284,2.95,9.0,10,0.82,No,9.7,10
205,Rohan Joshi,BITS Pilani,Business Administration,2021,North,Male,SC,Low,Rural,Employed,Consulting,1030870,0.88,1.6,8.9,229721,132612,23394,5.0,8.4,28,0.77,Yes,8.1,4
206,Krishna Gupta,IIT Kanpur,Civil Engineering,2023,North,Female,OBC,Low,Urban,Unemployed,,0,0.88,,,666596,404566,22158,0.0,9.5,20,0.82,No,8.1,8
207,Ishaan Chopra,IIT Kanpur,Marketing,2022,West,Male,General,High,Rural,Unemployed,,0,0.85,,,184144,101507,51605,0.0,9.6,24,0.94,No,9.3,0
208,Aarav Kumar,BITS Pilani,Marketing,2022,South,Male,SC,Middle,Rural,Employed,Education,704523,0.86,2.2,7.8,398658,173298,89940,2.28,8.1,16,0.8,No,8.5,9
209,Arjun Desai,VIT Vellore,Civil Engineering,2019,West,Male,SC,Low,Rural,Employed,Manufacturing,392584,0.93,1.9,8.2,306812,164602,1276,1.28,7.5,30,0.83,No,8.5,9
210,Vihaan Chopra,IIT Bombay,Electrical Engineering,2021,North,Male,OBC,Middle,Rural,Unemployed,,0,0.82,,,500912,215334,94452,0.0,8.7,18,0.79,No,9.8,10
211,Anika Kumar,Jadavpur University,Marketing,2023,West,Male,SC,Middle,Rural,Employed,Public Sector,1114006,0.87,2.8,7.6,232216,113910,37555,5.72,8.4,15,0.86,No,9.9,1
212,Vivaan Menon,IIM Ahmedabad,Civil Engineering,2022,East,Female,SC,High,Rural,Employed,Research,796297,0.95,1.4,6.9,434424,323144,95201,2.35,9.2,24,0.8,Yes,8.6,4
213,Vivaan Kumar,IIT Madras,Economics,2018,North,Male,General,Low,Rural,Employed,Research,742268,0.85,1.7,7.1,699435,477363,43647,1.13,7.3,12,0.86,No,8.9,10
214,Arjun Nair,Delhi University,Electrical Engineering,2021,East,Male,General,High,Rural,Employed,Public Sector,864543,0.91,2.9,8.3,435647,250180,35419,2.16,9.9,15,0.85,No,9.1,8
215,Meera Das,Amity University,Business Administration,2020,East,Female,OBC,Low,Rural,Employed,Research,634553,0.89,3.1,8.0,422427,159617,2767,1.51,7.0,14,0.79,No,9.4,7
216,Ananya Sharma,SRM University,Economics,2021,South,Female,OBC,Low,Rural,Employed,Research,778247,0.87,1.7,9.1,563927,239639,187416,2.07,9.2,22,0.76,Yes,8.2,9
217,Ishaan Das,VIT Vellore,Biotechnology,2019,South,Female,ST,Low,Urban,Employed,Education,880342,0.83,3.9,6.1,265717,164331,80967,4.77,8.4,25,0.75,Yes,9.1,1
218,Ananya Singh,IIT Madras,Psychology,2021,North,Male,OBC,Low,Urban,Employed,Healthcare,844818,0.81,3.3,6.3,508521,259407,130651,2.24,10.0,11,0.78,Yes,8.4,7
219,Sai Kumar,Amity University,Data Science,2021,West,Female,General,Low,Urban,Employed,Healthcare,802518,0.96,1.5,8.9,185138,73979,12315,4.64,8.6,25,0.8,No,9.9,8
220,Navya Iyer,IIM Bangalore,Psychology,2018,South,Female,OBC,Middle,Urban,Employed,Healthcare,804902,0.96,2.7,8.8,605251,279781,43872,1.43,9.4,22,0.9,Yes,8.8,9
221,Arjun Pandey,SRM University,Mechanical Engineering,2023,East,Male,OBC,Middle,Urban,Employed,IT,899599,0.97,3.4,9.0,212678,101608,20174,4.67,9.1,14,0.82,No,9.4,7
222,Krishna Sharma,Manipal University,Economics,2023,West,Female,OBC,Middle,Urban,Employed,Public Sector,1230636,0.85,3.5,9.7,459030,262274,128474,3.72,7.6,21,0.78,No,7.6,8
223,Sai Reddy,Delhi University,Electrical Engineering,2018,West,Female,SC,Middle,Rural,Employed,Research,646530,0.83,3.0,9.1,344546,255469,95440,2.6,9.3,12,0.86,No,7.7,2
224,Anika Das,IIM Ahmedabad,Economics,2019,North,Female,General,Low,Urban,Unemployed,,0,0.91,,,337316,248516,52973,0.0,7.3,11,0.84,No,7.6,8
225,Anika Desai,IIM Bangalore,Computer Science,2019,North,Female,OBC,High,Urban,Employed,Public Sector,777813,0.94,1.8,6.2,233840,124877,83744,5.18,7.2,23,0.91,Yes,8.7,1
226,Ananya Reddy,IIT Kanpur,Biotechnology,2019,West,Male,General,High,Urban,Employed,Healthcare,995261,0.91,3.1,7.7,410846,240350,46897,2.73,8.7,13,0.89,No,8.7,1
227,Sai Menon,Delhi University,Economics,2020,East,Female,OBC,High,Rural,Employed,Consulting,768455,0.86,2.7,9.0,539776,273219,166000,2.06,8.3,29,0.76,Yes,9.2,5
228,Ira Roy,BITS Pilani,Computer Science,2020,South,Male,SC,High,Urban,Employed,IT,528988,0.82,2.4,6.6,464922,368309,56314,1.29,9.6,18,0.93,Yes,7.1,4
229,Aadhya Desai,IIT Kanpur,Civil Engineering,2023,South,Female,SC,Low,Rural,Employed,Finance,417458,0.9,1.9,8.9,490464,341584,45325,0.94,8.5,28,0.9,Yes,9.7,9
230,Myra Reddy,SRM University,Computer Science,2019,North,Female,SC,Middle,Rural,Employed,IT,872495,0.83,3.0,10.0,551066,180233,137463,2.11,7.1,14,0.78,Yes,8.6,7
231,Anika Desai,Delhi University,Mechanical Engineering,2019,South,Male,ST,Middle,Rural,Employed,Consulting,948392,0.93,2.4,6.8,236554,127248,6463,4.12,8.6,22,0.83,Yes,7.8,6
232,Saanvi Kumar,Delhi University,Marketing,2020,West,Male,OBC,Low,Rural,Employed,Finance,1095331,0.93,1.5,7.4,267996,170411,55514,5.15,8.1,21,0.85,Yes,7.6,7
233,Anika Nair,Anna University,Computer Science,2023,South,Male,OBC,High,Rural,Unemployed,,0,0.8,,,239982,85478,7148,0.0,7.7,14,0.92,No,8.9,1
234,Ananya Roy,Anna University,Computer Science,2022,South,Female,OBC,High,Urban,Employed,Education,1035888,0.84,1.2,6.8,656489,401456,74106,1.78,9.1,22,0.85,Yes,9.0,9
235,Ishaan Patel,Anna University,Computer Science,2018,East,Male,ST,High,Rural,Unemployed,,0,0.95,,,170005,75864,50662,0.0,7.7,13,0.93,No,8.1,8
236,Vivaan Menon,IIT Kanpur,Biotechnology,2020,East,Female,General,Low,Urban,Employed,Public Sector,706164,0.94,2.9,9.5,562509,378115,4816,1.27,8.0,30,0.78,No,8.1,0
237,Meera Singh,IIT Kanpur,Electrical Engineering,2023,North,Female,ST,High,Urban,Employed,Research,868184,0.88,1.4,8.6,696012,543100,119237,1.51,8.3,23,0.94,No,8.7,9
238,Meera Kumar,Christ University,Electrical Engineering,2020,South,Female,OBC,Middle,Urban,Employed,Finance,782717,0.88,3.8,9.6,274138,107480,19073,3.07,9.2,23,0.94,No,9.3,4
239,Arjun Kumar,IIT Bombay,Electrical Engineering,2022,South,Male,General,High,Rural,Employed,Healthcare,309547,0.92,2.1,9.4,392129,252409,94178,1.04,7.2,14,0.83,No,9.3,7
240,Pari Nair,IIT Madras,Civil Engineering,2021,East,Male,General,Middle,Urban,Employed,Healthcare,619741,0.92,3.6,9.6,362686,246223,17337,1.79,7.5,24,0.92,No,9.9,6
241,Myra Patel,Jadavpur University,Economics,2021,North,Female,ST,High,Urban,Employed,Public Sector,851877,0.83,2.3,9.5,194476,143696,32207,5.25,8.6,11,0.84,Yes,8.2,4
242,Ira Menon,BITS Pilani,Data Science,2023,North,Male,OBC,Middle,Rural,Unemployed,,0,0.95,,,674977,240687,70939,0.0,8.2,10,0.74,Yes,8.0,1
243,Ishaan Joshi,Manipal University,Electrical Engineering,2018,East,Male,General,Low,Rural,Unemployed,,0,0.96,,,699262,457065,268260,0.0,8.8,27,0.8,Yes,7.5,9
244,Arjun Menon,Christ University,Electrical Engineering,2023,East,Male,General,Middle,Rural,Employed,Public Sector,860469,0.8,2.5,8.0,452808,277673,30816,2.04,9.7,10,0.86,No,9.9,0
245,Anika Mehta,IIT Kanpur,Civil Engineering,2022,North,Female,ST,Middle,Rural,Employed,IT,737395,0.81,2.0,6.6,406600,301324,72905,2.21,8.9,16,0.71,Yes,8.7,0
246,Saanvi Bhat,IIM Bangalore,Business Administration,2019,South,Male,General,Low,Rural,Employed,Education,480175,0.94,3.3,9.4,336037,263166,94421,1.99,9.8,19,0.78,No,7.3,1
247,Ananya Mehta,IIT Madras,Mechanical Engineering,2023,South,Female,SC,High,Rural,Unemployed,,0,0.92,,,369205,223748,28652,0.0,8.7,26,0.95,No,9.9,9
248,Ananya Bose,Jadavpur University,Business Administration,2021,West,Female,SC,Low,Rural,Employed,Manufacturing,942322,0.94,4.0,7.7,394026,257808,50739,2.74,7.0,30,0.9,Yes,7.1,5
249,Aadhya Chatterjee,SRM University,Civil Engineering,2018,East,Male,OBC,High,Rural,Employed,Education,575071,0.94,1.6,9.3,464870,257233,84914,1.51,9.3,20,0.79,Yes,7.3,10
250,Pari Mehta,SRM University,Computer Science,2021,East,Male,ST,Low,Rural,Employed,Research,866462,0.9,2.0,9.7,208743,149784,39235,5.11,8.7,27,0.83,Yes,9.0,5
251,Vivaan Nair,IIM Bangalore,Computer Science,2019,West,Female,ST,High,Urban,Employed,Finance,650302,0.86,3.5,7.2,473256,308862,82444,1.66,9.1,12,0.82,Yes,7.8,8
252,Ananya Menon,IIT Bombay,Business Administration,2021,North,Male,OBC,Low,Rural,Employed,Manufacturing,1035859,0.94,3.8,8.7,349451,164262,126739,4.65,9.2,20,0.74,Yes,8.6,2
253,Krishna Patel,Anna University,Economics,2020,North,Male,General,Middle,Urban,Employed,Public Sector,813503,0.83,1.9,8.1,198381,69741,40957,5.17,7.1,30,0.92,No,9.3,7
254,Aditya Singh,IIT Madras,Electrical Engineering,2022,South,Female,General,Low,Urban,Employed,Consulting,750207,0.89,1.2,6.1,483955,210775,184642,2.51,9.4,15,0.72,No,8.7,10
255,Vihaan Iyer,BITS Pilani,Computer Science,2022,West,Male,ST,Middle,Urban,Employed,Consulting,994314,0.9,1.3,9.2,477617,222648,51943,2.34,9.1,27,0.72,No,9.0,7
256,Aditya Roy,IIM Bangalore,Psychology,2020,East,Female,OBC,Low,Urban,Employed,Research,929075,0.88,2.1,7.8,342259,222402,86593,3.63,9.4,24,0.82,Yes,9.6,2
257,Ananya Pandey,Jadavpur University,Marketing,2022,East,Male,General,Middle,Urban,Employed,Finance,1073726,0.87,2.0,9.3,466793,264378,105071,2.97,8.8,17,0.84,No,7.7,9
258,Sara Bose,Jadavpur University,Business Administration,2018,West,Male,OBC,High,Urban,Employed,Public Sector,1011684,0.86,2.9,6.2,491183,283679,116710,2.7,7.5,12,0.85,No,9.9,3
259,Arjun Desai,Amity University,Computer Science,2022,West,Male,OBC,Middle,Rural,Employed,Public Sector,448252,0.92,3.7,10.0,355171,143073,82994,1.65,7.9,19,0.93,No,9.4,9
260,Aarav Bhat,Delhi University,Economics,2018,North,Male,SC,Low,Rural,Employed,Consulting,746118,0.87,2.3,6.8,265027,193635,4087,2.86,7.7,22,0.86,No,9.1,2
261,Pari Nair,IIT Kanpur,Biotechnology,2023,East,Female,SC,Middle,Urban,Employed,Manufacturing,943508,0.81,2.9,7.7,290800,88927,84985,4.58,7.0,25,0.86,Yes,9.2,7
262,Anika Bose,Jadavpur University,Electrical Engineering,2020,West,Female,ST,High,Rural,Employed,Healthcare,1125723,0.87,2.6,7.5,344816,176678,1947,3.28,8.7,17,0.88,No,9.5,0
263,Saanvi Mehta,Manipal University,Business Administration,2023,South,Male,ST,High,Urban,Employed,Education,523979,0.92,2.6,8.3,637521,356039,137194,1.05,9.7,25,0.86,Yes,7.3,9
264,Vihaan Joshi,Delhi University,Computer Science,2021,East,Female,ST,High,Rural,Unemployed,,0,0.81,,,520057,405795,77232,0.0,7.9,29,0.89,No,7.1,7
265,Saanvi Menon,Jadavpur University,Computer Science,2019,North,Female,General,Middle,Rural,Employed,Finance,797056,0.95,3.2,8.6,441345,188024,161427,2.85,7.8,10,0.89,Yes,9.6,5
266,Sai Singh,SRM University,Civil Engineering,2018,East,Female,OBC,High,Urban,Employed,Manufacturing,959281,0.84,3.2,7.4,311638,224007,98665,4.5,10.0,17,0.87,Yes,9.3,10
267,Ishaan Iyer,IIT Delhi,Electrical Engineering,2023,West,Female,ST,Middle,Rural,Employed,Healthcare,798760,0.86,1.9,8.1,548249,351841,102254,1.79,8.4,23,0.7,No,7.4,0
268,Aditya Chatterjee,VIT Vellore,Business Administration,2018,East,Female,SC,Middle,Rural,Employed,Education,880623,0.92,4.0,7.3,560154,297192,177023,2.3,9.2,28,0.89,No,9.2,0
269,Aarav Reddy,IIT Delhi,Economics,2019,East,Male,General,High,Rural,Employed,Education,775417,0.96,2.9,8.8,414132,164219,6212,1.9,8.9,29,0.86,Yes,7.2,1
270,Vivaan Bhat,IIT Madras,Economics,2020,East,Male,General,High,Urban,Employed,Public Sector,784939,0.85,1.2,7.6,229392,142083,36226,4.06,9.3,20,0.76,Yes,9.1,0
271,Ishaan Singh,IIT Madras,Psychology,2023,South,Male,ST,Low,Rural,Employed,Public Sector,579749,0.82,1.2,8.3,263697,98078,100756,3.56,8.3,13,0.93,No,8.8,4
272,Ira Sharma,Amity University,Psychology,2019,East,Male,General,Low,Rural,Employed,Consulting,897534,0.89,1.0,9.8,560339,329098,135104,2.11,9.1,25,0.81,Yes,9.3,7
273,Aditya Desai,Delhi University,Business Administration,2020,North,Female,SC,Middle,Urban,Employed,Consulting,1211018,0.85,2.2,6.4,234365,168881,38005,6.17,8.9,11,0.94,Yes,7.5,5
274,Pari Reddy,Amity University,Psychology,2023,North,Male,OBC,Low,Urban,Employed,Healthcare,736127,0.81,1.2,9.2,662997,327774,161339,1.47,8.5,24,0.94,Yes,9.9,0
275,Myra Iyer,IIT Kanpur,Biotechnology,2018,North,Female,OBC,High,Urban,Employed,Manufacturing,636900,0.8,2.9,9.6,662643,415421,247054,1.53,9.7,17,0.88,Yes,8.9,1
276,Ira Bhat,IIT Madras,Marketing,2018,South,Male,General,Low,Rural,Employed,Healthcare,688194,0.85,3.9,6.9,596915,279757,219125,1.82,9.9,20,0.73,Yes,9.0,0
277,Saanvi Menon,IIM Ahmedabad,Mechanical Engineering,2023,South,Male,SC,Low,Rural,Employed,Consulting,513182,0.8,2.5,6.0,323021,167754,121330,2.54,8.7,30,0.85,Yes,7.4,2
278,Vivaan Desai,Amity University,Data Science,2019,South,Female,ST,High,Urban,Employed,Education,761693,0.9,1.3,9.3,698496,366856,125437,1.33,9.8,11,0.85,No,8.8,4
279,Aadhya Bose,IIT Delhi,Biotechnology,2022,East,Male,OBC,Low,Urban,Employed,Healthcare,779610,0.88,1.5,9.7,636765,436289,172838,1.68,7.6,13,0.9,No,7.2,0
280,Aadhya Das,IIT Kanpur,Economics,2018,North,Female,SC,High,Rural,Employed,IT,808426,0.87,3.2,9.6,334431,126756,7619,2.47,8.5,17,0.88,No,7.3,3
281,Aditya Joshi,IIT Kanpur,Mechanical Engineering,2018,South,Male,ST,Low,Rural,Employed,Public Sector,970270,0.82,3.2,8.5,657938,215257,228518,2.26,7.4,24,0.74,No,9.8,4
282,Krishna Joshi,IIT Madras,Computer Science,2021,West,Male,SC,Low,Urban,Employed,Research,675927,0.9,2.7,6.9,329517,224127,57633,2.49,9.7,30,0.94,Yes,8.8,6
